year,Heber
1880,0
1881,6
1882,6
1883,6
1884,11
1885,12
1886,9
1887,7
1888,9
1889,8
1890,7
1891,13
1892,13
1893,9
1894,11
1895,13
1896,12
1897,6
1898,8
1899,9
1900,8
1901,11
1902,0
1903,10
1904,8
1905,9
1906,0
1907,0
1908,9
1909,11
1910,11
1911,8
1912,19
1913,25
1914,27
1915,45
1916,35
1917,42
1918,39
1919,38
1920,39
1921,44
1922,44
1923,30
1924,48
1925,31
1926,35
1927,27
1928,35
1929,23
1930,27
1931,25
1932,13
1933,18
1934,20
1935,17
1936,17
1937,19
1938,17
1939,15
1940,20
1941,14
1942,11
1943,18
1944,10
1945,17
1946,0
1947,11
1948,8
1949,16
1950,15
1951,16
1952,14
1953,10
1954,18
1955,10
1956,11
1957,11
1958,7
1959,7
1960,9
1961,11
1962,10
1963,10
1964,10
1965,6
1966,11
1967,8
1968,6
1969,9
1970,7
1971,14
1972,5
1973,9
1974,14
1975,13
1976,7
1977,13
1978,12
1979,14
1980,19
1981,15
1982,23
1983,17
1984,19
1985,19
1986,14
1987,12
1988,23
1989,21
1990,19
1991,24
1992,31
1993,23
1994,26
1995,26
1996,42
1997,32
1998,27
1999,38
2000,50
2001,52
2002,57
2003,41
2004,49
2005,81
2006,69
2007,61
2008,66
2009,58
2010,64
2011,46
2012,60
