year,Harrell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,6
1908,6
1909,10
1910,8
1911,5
1912,14
1913,16
1914,21
1915,32
1916,31
1917,29
1918,33
1919,29
1920,44
1921,54
1922,38
1923,49
1924,53
1925,50
1926,41
1927,41
1928,54
1929,47
1930,44
1931,31
1932,47
1933,43
1934,48
1935,39
1936,42
1937,44
1938,45
1939,44
1940,50
1941,42
1942,49
1943,33
1944,40
1945,48
1946,54
1947,56
1948,46
1949,41
1950,39
1951,46
1952,51
1953,43
1954,40
1955,44
1956,33
1957,39
1958,28
1959,37
1960,31
1961,31
1962,31
1963,39
1964,25
1965,23
1966,23
1967,20
1968,25
1969,16
1970,20
1971,13
1972,14
1973,12
1974,19
1975,13
1976,20
1977,10
1978,20
1979,11
1980,13
1981,16
1982,15
1983,17
1984,8
1985,14
1986,9
1987,13
1988,10
1989,10
1990,5
1991,11
1992,9
1993,5
1994,8
1995,7
1996,6
1997,6
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,5
2008,0
2009,0
2010,5
2011,0
2012,0
