year,Hilaria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,6
1899,0
1900,10
1901,7
1902,0
1903,0
1904,0
1905,5
1906,0
1907,5
1908,0
1909,6
1910,0
1911,7
1912,10
1913,15
1914,15
1915,11
1916,15
1917,20
1918,10
1919,8
1920,14
1921,17
1922,14
1923,20
1924,26
1925,26
1926,24
1927,16
1928,24
1929,22
1930,28
1931,20
1932,17
1933,13
1934,9
1935,15
1936,14
1937,12
1938,9
1939,9
1940,8
1941,12
1942,12
1943,10
1944,9
1945,10
1946,11
1947,12
1948,12
1949,10
1950,7
1951,10
1952,9
1953,12
1954,7
1955,0
1956,6
1957,6
1958,8
1959,6
1960,0
1961,12
1962,0
1963,5
1964,8
1965,0
1966,6
1967,7
1968,6
1969,0
1970,0
1971,9
1972,0
1973,10
1974,9
1975,0
1976,0
1977,7
1978,0
1979,8
1980,0
1981,7
1982,11
1983,0
1984,0
1985,0
1986,11
1987,7
1988,0
1989,9
1990,8
1991,6
1992,5
1993,6
1994,10
1995,0
1996,9
1997,0
1998,12
1999,0
2000,0
2001,0
2002,6
2003,11
2004,7
2005,6
2006,8
2007,6
2008,0
2009,7
2010,13
2011,6
2012,0
