year,Henri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,6
1888,8
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,8
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,7
1905,5
1906,7
1907,6
1908,0
1909,6
1910,0
1911,14
1912,16
1913,23
1914,23
1915,34
1916,43
1917,43
1918,52
1919,43
1920,42
1921,40
1922,32
1923,36
1924,42
1925,46
1926,48
1927,38
1928,41
1929,39
1930,48
1931,39
1932,33
1933,24
1934,46
1935,34
1936,29
1937,33
1938,43
1939,30
1940,46
1941,40
1942,44
1943,48
1944,43
1945,39
1946,46
1947,46
1948,43
1949,36
1950,62
1951,46
1952,44
1953,56
1954,53
1955,43
1956,54
1957,41
1958,49
1959,38
1960,52
1961,45
1962,26
1963,42
1964,39
1965,40
1966,38
1967,46
1968,22
1969,25
1970,37
1971,32
1972,27
1973,29
1974,33
1975,24
1976,20
1977,28
1978,21
1979,35
1980,34
1981,28
1982,28
1983,30
1984,31
1985,34
1986,34
1987,30
1988,31
1989,42
1990,32
1991,35
1992,37
1993,51
1994,39
1995,35
1996,52
1997,61
1998,61
1999,51
2000,49
2001,59
2002,62
2003,66
2004,77
2005,68
2006,75
2007,73
2008,80
2009,91
2010,65
2011,96
2012,97
