year,Harriett
1880,83
1881,86
1882,91
1883,91
1884,105
1885,78
1886,92
1887,89
1888,118
1889,105
1890,114
1891,101
1892,111
1893,119
1894,118
1895,127
1896,131
1897,118
1898,143
1899,116
1900,150
1901,101
1902,108
1903,112
1904,104
1905,116
1906,134
1907,145
1908,115
1909,141
1910,177
1911,177
1912,262
1913,260
1914,359
1915,460
1916,511
1917,542
1918,564
1919,527
1920,585
1921,543
1922,520
1923,522
1924,492
1925,462
1926,379
1927,399
1928,380
1929,321
1930,330
1931,305
1932,300
1933,283
1934,273
1935,271
1936,297
1937,335
1938,345
1939,299
1940,309
1941,320
1942,356
1943,344
1944,310
1945,273
1946,295
1947,335
1948,277
1949,251
1950,252
1951,261
1952,203
1953,244
1954,221
1955,182
1956,178
1957,158
1958,153
1959,144
1960,152
1961,141
1962,130
1963,102
1964,103
1965,91
1966,77
1967,71
1968,53
1969,56
1970,59
1971,42
1972,26
1973,35
1974,34
1975,21
1976,12
1977,22
1978,18
1979,21
1980,29
1981,25
1982,15
1983,20
1984,14
1985,16
1986,16
1987,16
1988,10
1989,14
1990,11
1991,19
1992,17
1993,6
1994,5
1995,5
1996,5
1997,6
1998,5
1999,5
2000,5
2001,9
2002,0
2003,6
2004,5
2005,0
2006,5
2007,0
2008,8
2009,0
2010,5
2011,5
2012,9
