year,Hoyt
1880,5
1881,0
1882,6
1883,6
1884,8
1885,6
1886,7
1887,10
1888,0
1889,5
1890,14
1891,13
1892,15
1893,6
1894,7
1895,12
1896,11
1897,9
1898,13
1899,10
1900,11
1901,19
1902,12
1903,12
1904,14
1905,13
1906,19
1907,24
1908,25
1909,34
1910,26
1911,37
1912,49
1913,79
1914,90
1915,117
1916,123
1917,141
1918,161
1919,153
1920,164
1921,153
1922,176
1923,167
1924,176
1925,140
1926,154
1927,145
1928,140
1929,148
1930,162
1931,132
1932,144
1933,124
1934,115
1935,124
1936,115
1937,109
1938,123
1939,102
1940,88
1941,96
1942,111
1943,94
1944,98
1945,77
1946,100
1947,89
1948,93
1949,83
1950,71
1951,91
1952,68
1953,79
1954,86
1955,80
1956,58
1957,70
1958,48
1959,67
1960,51
1961,60
1962,61
1963,49
1964,50
1965,69
1966,63
1967,58
1968,46
1969,49
1970,38
1971,31
1972,32
1973,27
1974,29
1975,27
1976,24
1977,25
1978,12
1979,22
1980,16
1981,19
1982,13
1983,20
1984,9
1985,30
1986,9
1987,26
1988,15
1989,10
1990,13
1991,15
1992,11
1993,9
1994,13
1995,11
1996,8
1997,19
1998,14
1999,16
2000,11
2001,19
2002,15
2003,15
2004,26
2005,32
2006,37
2007,45
2008,51
2009,54
2010,78
2011,81
2012,94
