year,Hyacinth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,6
1898,0
1899,7
1900,0
1901,8
1902,9
1903,0
1904,8
1905,6
1906,0
1907,5
1908,5
1909,13
1910,10
1911,6
1912,14
1913,15
1914,16
1915,18
1916,19
1917,24
1918,22
1919,18
1920,29
1921,17
1922,25
1923,18
1924,9
1925,12
1926,15
1927,10
1928,14
1929,5
1930,8
1931,9
1932,6
1933,5
1934,7
1935,5
1936,5
1937,8
1938,10
1939,0
1940,0
1941,7
1942,0
1943,6
1944,8
1945,0
1946,0
1947,8
1948,10
1949,6
1950,7
1951,0
1952,0
1953,6
1954,6
1955,8
1956,0
1957,0
1958,7
1959,5
1960,0
1961,0
1962,0
1963,0
1964,9
1965,0
1966,0
1967,0
1968,0
1969,0
1970,9
1971,0
1972,0
1973,0
1974,11
1975,10
1976,13
1977,0
1978,8
1979,7
1980,9
1981,11
1982,9
1983,6
1984,6
1985,6
1986,6
1987,5
1988,0
1989,0
1990,0
1991,8
1992,5
1993,6
1994,6
1995,5
1996,0
1997,5
1998,11
1999,7
2000,14
2001,8
2002,9
2003,7
2004,9
2005,8
2006,11
2007,12
2008,6
2009,8
2010,7
2011,0
2012,7
