year,Hudson
1880,5
1881,5
1882,0
1883,0
1884,10
1885,0
1886,0
1887,0
1888,9
1889,5
1890,0
1891,5
1892,7
1893,13
1894,10
1895,6
1896,8
1897,5
1898,8
1899,5
1900,9
1901,8
1902,10
1903,0
1904,9
1905,6
1906,5
1907,6
1908,11
1909,11
1910,8
1911,11
1912,19
1913,24
1914,24
1915,42
1916,55
1917,49
1918,52
1919,50
1920,45
1921,45
1922,39
1923,41
1924,38
1925,45
1926,43
1927,30
1928,32
1929,26
1930,17
1931,26
1932,23
1933,31
1934,22
1935,27
1936,29
1937,24
1938,29
1939,27
1940,16
1941,19
1942,20
1943,26
1944,26
1945,18
1946,23
1947,37
1948,26
1949,24
1950,29
1951,21
1952,19
1953,20
1954,21
1955,21
1956,26
1957,12
1958,16
1959,15
1960,5
1961,20
1962,6
1963,12
1964,21
1965,9
1966,15
1967,14
1968,21
1969,23
1970,12
1971,17
1972,10
1973,14
1974,19
1975,9
1976,5
1977,13
1978,17
1979,16
1980,21
1981,25
1982,27
1983,27
1984,23
1985,27
1986,21
1987,39
1988,39
1989,43
1990,54
1991,68
1992,66
1993,100
1994,105
1995,130
1996,265
1997,231
1998,262
1999,252
2000,344
2001,451
2002,502
2003,693
2004,940
2005,1252
2006,1394
2007,1944
2008,2280
2009,2712
2010,2909
2011,3495
2012,4285
