year,Honor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,5
1893,5
1894,0
1895,6
1896,5
1897,9
1898,0
1899,0
1900,5
1901,0
1902,5
1903,6
1904,6
1905,8
1906,5
1907,10
1908,7
1909,0
1910,8
1911,0
1912,0
1913,7
1914,7
1915,5
1916,9
1917,9
1918,21
1919,15
1920,7
1921,12
1922,9
1923,17
1924,12
1925,16
1926,16
1927,16
1928,9
1929,7
1930,8
1931,11
1932,13
1933,8
1934,12
1935,0
1936,6
1937,9
1938,11
1939,8
1940,5
1941,0
1942,5
1943,11
1944,8
1945,9
1946,10
1947,13
1948,7
1949,6
1950,7
1951,8
1952,14
1953,10
1954,12
1955,8
1956,11
1957,7
1958,5
1959,0
1960,8
1961,0
1962,8
1963,5
1964,11
1965,12
1966,15
1967,17
1968,15
1969,9
1970,9
1971,11
1972,10
1973,15
1974,12
1975,13
1976,9
1977,14
1978,17
1979,11
1980,8
1981,11
1982,0
1983,16
1984,7
1985,7
1986,6
1987,15
1988,7
1989,11
1990,9
1991,6
1992,14
1993,16
1994,6
1995,13
1996,20
1997,23
1998,30
1999,19
2000,45
2001,33
2002,48
2003,54
2004,42
2005,35
2006,49
2007,38
2008,68
2009,138
2010,131
2011,147
2012,197
