year,Hilbert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,7
1904,9
1905,10
1906,9
1907,0
1908,6
1909,7
1910,8
1911,7
1912,26
1913,35
1914,60
1915,56
1916,80
1917,78
1918,72
1919,67
1920,62
1921,63
1922,83
1923,69
1924,59
1925,60
1926,58
1927,42
1928,56
1929,58
1930,36
1931,34
1932,37
1933,31
1934,41
1935,31
1936,33
1937,20
1938,33
1939,23
1940,18
1941,24
1942,21
1943,33
1944,21
1945,23
1946,23
1947,26
1948,16
1949,16
1950,12
1951,9
1952,14
1953,31
1954,14
1955,12
1956,12
1957,13
1958,13
1959,14
1960,8
1961,14
1962,11
1963,13
1964,0
1965,16
1966,13
1967,0
1968,10
1969,9
1970,7
1971,9
1972,8
1973,8
1974,5
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,6
1982,0
1983,6
1984,6
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,6
1996,0
1997,5
1998,6
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
