year,Herman
1880,347
1881,304
1882,348
1883,359
1884,385
1885,326
1886,418
1887,394
1888,403
1889,405
1890,382
1891,390
1892,421
1893,462
1894,433
1895,439
1896,427
1897,418
1898,467
1899,413
1900,550
1901,393
1902,462
1903,449
1904,497
1905,480
1906,502
1907,562
1908,569
1909,618
1910,702
1911,853
1912,1657
1913,1913
1914,2444
1915,2994
1916,3065
1917,2988
1918,3058
1919,3043
1920,3128
1921,3239
1922,3033
1923,2977
1924,2971
1925,2919
1926,2810
1927,2876
1928,2613
1929,2635
1930,2620
1931,2277
1932,2203
1933,1968
1934,2031
1935,1932
1936,1817
1937,1885
1938,1904
1939,1810
1940,1682
1941,1788
1942,1798
1943,1735
1944,1641
1945,1431
1946,1601
1947,1803
1948,1848
1949,1614
1950,1574
1951,1546
1952,1510
1953,1421
1954,1422
1955,1369
1956,1329
1957,1327
1958,1222
1959,1190
1960,1059
1961,1012
1962,1002
1963,845
1964,923
1965,805
1966,761
1967,672
1968,673
1969,675
1970,623
1971,555
1972,552
1973,495
1974,457
1975,466
1976,442
1977,420
1978,387
1979,409
1980,373
1981,330
1982,363
1983,352
1984,276
1985,309
1986,276
1987,282
1988,275
1989,295
1990,252
1991,268
1992,219
1993,207
1994,191
1995,173
1996,181
1997,161
1998,150
1999,146
2000,127
2001,119
2002,113
2003,116
2004,119
2005,107
2006,101
2007,93
2008,100
2009,94
2010,76
2011,89
2012,65
