year,Hampton
1880,6
1881,11
1882,9
1883,9
1884,10
1885,9
1886,13
1887,0
1888,5
1889,5
1890,0
1891,13
1892,10
1893,8
1894,11
1895,7
1896,9
1897,0
1898,14
1899,8
1900,11
1901,8
1902,15
1903,15
1904,8
1905,15
1906,11
1907,21
1908,10
1909,10
1910,11
1911,20
1912,30
1913,30
1914,38
1915,40
1916,35
1917,58
1918,55
1919,44
1920,47
1921,57
1922,59
1923,44
1924,44
1925,37
1926,52
1927,47
1928,43
1929,37
1930,45
1931,39
1932,19
1933,38
1934,41
1935,21
1936,40
1937,29
1938,38
1939,30
1940,32
1941,28
1942,41
1943,32
1944,25
1945,38
1946,28
1947,38
1948,28
1949,27
1950,32
1951,29
1952,32
1953,26
1954,26
1955,28
1956,30
1957,34
1958,16
1959,23
1960,32
1961,23
1962,27
1963,18
1964,17
1965,19
1966,17
1967,23
1968,16
1969,20
1970,24
1971,16
1972,8
1973,19
1974,17
1975,14
1976,12
1977,14
1978,10
1979,8
1980,15
1981,11
1982,15
1983,15
1984,10
1985,18
1986,18
1987,19
1988,23
1989,24
1990,25
1991,20
1992,33
1993,29
1994,37
1995,37
1996,27
1997,33
1998,39
1999,36
2000,47
2001,47
2002,35
2003,62
2004,52
2005,56
2006,60
2007,64
2008,59
2009,69
2010,71
2011,75
2012,77
