year,Haley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,5
1892,0
1893,7
1894,5
1895,8
1896,0
1897,9
1898,0
1899,5
1900,5
1901,0
1902,0
1903,0
1904,10
1905,0
1906,5
1907,6
1908,6
1909,0
1910,12
1911,0
1912,0
1913,6
1914,9
1915,14
1916,16
1917,7
1918,16
1919,14
1920,15
1921,8
1922,11
1923,21
1924,21
1925,12
1926,11
1927,11
1928,11
1929,10
1930,12
1931,7
1932,5
1933,6
1934,0
1935,12
1936,5
1937,6
1938,5
1939,5
1940,0
1941,0
1942,5
1943,15
1944,11
1945,6
1946,0
1947,6
1948,8
1949,10
1950,0
1951,0
1952,5
1953,12
1954,6
1955,0
1956,7
1957,5
1958,6
1959,6
1960,5
1961,16
1962,27
1963,30
1964,39
1965,44
1966,45
1967,52
1968,73
1969,70
1970,79
1971,92
1972,88
1973,98
1974,130
1975,110
1976,117
1977,469
1978,518
1979,525
1980,501
1981,773
1982,1038
1983,926
1984,1003
1985,1398
1986,1297
1987,1571
1988,2021
1989,2382
1990,3219
1991,4480
1992,6065
1993,7657
1994,7826
1995,8225
1996,9070
1997,8701
1998,7955
1999,8225
2000,9099
2001,8037
2002,7472
2003,7212
2004,5767
2005,5136
2006,4301
2007,4203
2008,3338
2009,2619
2010,1983
2011,1951
2012,1706
