year,Hester
1880,49
1881,55
1882,63
1883,72
1884,85
1885,85
1886,76
1887,89
1888,113
1889,109
1890,119
1891,102
1892,122
1893,160
1894,143
1895,164
1896,150
1897,140
1898,163
1899,153
1900,192
1901,166
1902,164
1903,147
1904,175
1905,160
1906,158
1907,164
1908,190
1909,184
1910,221
1911,208
1912,273
1913,291
1914,318
1915,380
1916,402
1917,370
1918,407
1919,379
1920,380
1921,355
1922,352
1923,398
1924,330
1925,346
1926,287
1927,272
1928,225
1929,235
1930,225
1931,196
1932,168
1933,171
1934,180
1935,139
1936,158
1937,127
1938,150
1939,117
1940,145
1941,125
1942,120
1943,140
1944,132
1945,107
1946,93
1947,119
1948,90
1949,113
1950,106
1951,72
1952,82
1953,97
1954,92
1955,86
1956,64
1957,60
1958,58
1959,59
1960,47
1961,48
1962,38
1963,46
1964,42
1965,19
1966,27
1967,27
1968,29
1969,25
1970,37
1971,30
1972,19
1973,29
1974,27
1975,21
1976,21
1977,17
1978,14
1979,29
1980,16
1981,25
1982,25
1983,14
1984,11
1985,14
1986,13
1987,18
1988,8
1989,10
1990,10
1991,8
1992,0
1993,13
1994,7
1995,0
1996,5
1997,0
1998,5
1999,0
2000,5
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,5
2010,5
2011,0
2012,0
