year,Holden
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,7
1915,6
1916,0
1917,5
1918,5
1919,0
1920,10
1921,11
1922,11
1923,11
1924,5
1925,0
1926,0
1927,6
1928,9
1929,5
1930,0
1931,8
1932,6
1933,0
1934,0
1935,5
1936,5
1937,5
1938,5
1939,0
1940,6
1941,5
1942,6
1943,5
1944,0
1945,0
1946,0
1947,5
1948,0
1949,5
1950,0
1951,6
1952,0
1953,6
1954,0
1955,8
1956,8
1957,6
1958,9
1959,0
1960,8
1961,8
1962,8
1963,9
1964,5
1965,9
1966,6
1967,0
1968,8
1969,9
1970,0
1971,0
1972,0
1973,6
1974,0
1975,8
1976,7
1977,5
1978,11
1979,6
1980,11
1981,7
1982,12
1983,7
1984,17
1985,15
1986,58
1987,107
1988,143
1989,146
1990,182
1991,234
1992,224
1993,267
1994,303
1995,299
1996,323
1997,451
1998,568
1999,550
2000,533
2001,553
2002,614
2003,625
2004,756
2005,837
2006,776
2007,819
2008,881
2009,963
2010,1020
2011,1121
2012,1183
