year,Hyrum
1880,5
1881,7
1882,0
1883,9
1884,8
1885,7
1886,6
1887,6
1888,9
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,6
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,5
1912,9
1913,13
1914,11
1915,14
1916,8
1917,20
1918,21
1919,11
1920,10
1921,19
1922,10
1923,12
1924,12
1925,12
1926,11
1927,8
1928,18
1929,12
1930,5
1931,5
1932,5
1933,9
1934,10
1935,6
1936,6
1937,7
1938,8
1939,8
1940,5
1941,9
1942,8
1943,9
1944,0
1945,6
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,8
1953,0
1954,6
1955,11
1956,7
1957,5
1958,5
1959,0
1960,0
1961,7
1962,6
1963,0
1964,0
1965,0
1966,0
1967,9
1968,7
1969,0
1970,10
1971,10
1972,9
1973,8
1974,10
1975,20
1976,11
1977,21
1978,21
1979,27
1980,33
1981,16
1982,20
1983,26
1984,26
1985,16
1986,18
1987,15
1988,14
1989,24
1990,20
1991,18
1992,20
1993,15
1994,34
1995,32
1996,51
1997,51
1998,43
1999,49
2000,59
2001,84
2002,78
2003,91
2004,102
2005,102
2006,109
2007,123
2008,112
2009,106
2010,76
2011,100
2012,104
