year,Huey
1880,5
1881,6
1882,5
1883,0
1884,0
1885,5
1886,5
1887,0
1888,0
1889,0
1890,7
1891,0
1892,5
1893,9
1894,7
1895,5
1896,8
1897,5
1898,0
1899,9
1900,0
1901,0
1902,6
1903,12
1904,6
1905,8
1906,9
1907,9
1908,8
1909,9
1910,16
1911,10
1912,37
1913,27
1914,38
1915,39
1916,41
1917,37
1918,42
1919,50
1920,48
1921,58
1922,71
1923,70
1924,76
1925,54
1926,62
1927,114
1928,220
1929,194
1930,174
1931,162
1932,144
1933,154
1934,187
1935,494
1936,353
1937,214
1938,165
1939,122
1940,103
1941,99
1942,96
1943,76
1944,90
1945,64
1946,69
1947,74
1948,83
1949,90
1950,75
1951,83
1952,92
1953,78
1954,113
1955,86
1956,90
1957,100
1958,90
1959,80
1960,74
1961,87
1962,87
1963,70
1964,45
1965,51
1966,41
1967,48
1968,35
1969,43
1970,51
1971,50
1972,36
1973,31
1974,31
1975,36
1976,22
1977,28
1978,20
1979,29
1980,26
1981,14
1982,21
1983,27
1984,15
1985,14
1986,17
1987,28
1988,13
1989,24
1990,14
1991,19
1992,9
1993,11
1994,12
1995,5
1996,9
1997,10
1998,16
1999,17
2000,5
2001,7
2002,8
2003,10
2004,10
2005,10
2006,14
2007,12
2008,13
2009,14
2010,11
2011,12
2012,11
