year,Harlow
1880,0
1881,0
1882,5
1883,5
1884,8
1885,5
1886,0
1887,5
1888,0
1889,0
1890,0
1891,6
1892,6
1893,5
1894,5
1895,7
1896,5
1897,0
1898,7
1899,0
1900,10
1901,5
1902,0
1903,0
1904,7
1905,6
1906,8
1907,0
1908,0
1909,0
1910,5
1911,6
1912,20
1913,21
1914,30
1915,36
1916,46
1917,32
1918,45
1919,33
1920,32
1921,42
1922,31
1923,36
1924,32
1925,23
1926,37
1927,44
1928,26
1929,26
1930,29
1931,33
1932,38
1933,31
1934,36
1935,31
1936,41
1937,27
1938,31
1939,28
1940,33
1941,26
1942,21
1943,19
1944,27
1945,21
1946,19
1947,23
1948,19
1949,17
1950,15
1951,11
1952,17
1953,16
1954,12
1955,12
1956,20
1957,8
1958,12
1959,10
1960,9
1961,14
1962,8
1963,0
1964,5
1965,5
1966,0
1967,0
1968,0
1969,10
1970,6
1971,0
1972,0
1973,9
1974,0
1975,0
1976,7
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,16
2004,12
2005,11
2006,24
2007,28
2008,143
2009,319
2010,374
2011,478
2012,539
