year,Hanna
1880,25
1881,17
1882,24
1883,21
1884,21
1885,14
1886,27
1887,27
1888,38
1889,26
1890,33
1891,27
1892,21
1893,22
1894,20
1895,37
1896,38
1897,30
1898,34
1899,30
1900,22
1901,15
1902,24
1903,19
1904,28
1905,13
1906,21
1907,28
1908,27
1909,20
1910,30
1911,24
1912,22
1913,31
1914,29
1915,42
1916,34
1917,46
1918,42
1919,35
1920,36
1921,21
1922,28
1923,28
1924,35
1925,26
1926,25
1927,20
1928,21
1929,19
1930,18
1931,21
1932,22
1933,16
1934,11
1935,17
1936,13
1937,14
1938,15
1939,19
1940,18
1941,19
1942,20
1943,15
1944,17
1945,12
1946,10
1947,20
1948,18
1949,14
1950,22
1951,20
1952,14
1953,17
1954,15
1955,18
1956,16
1957,22
1958,11
1959,19
1960,20
1961,26
1962,19
1963,22
1964,20
1965,24
1966,13
1967,23
1968,22
1969,22
1970,24
1971,22
1972,26
1973,41
1974,34
1975,47
1976,50
1977,78
1978,96
1979,99
1980,112
1981,146
1982,146
1983,246
1984,254
1985,250
1986,287
1987,375
1988,418
1989,672
1990,783
1991,886
1992,948
1993,1005
1994,1194
1995,1389
1996,1421
1997,1703
1998,1903
1999,1883
2000,1911
2001,1764
2002,1658
2003,1546
2004,1441
2005,1342
2006,1220
2007,1033
2008,891
2009,717
2010,578
2011,665
2012,914
