year,Helene
1880,17
1881,20
1882,20
1883,24
1884,26
1885,28
1886,33
1887,31
1888,39
1889,44
1890,57
1891,68
1892,54
1893,68
1894,78
1895,87
1896,100
1897,108
1898,98
1899,89
1900,138
1901,122
1902,94
1903,123
1904,121
1905,146
1906,149
1907,160
1908,138
1909,176
1910,226
1911,283
1912,378
1913,425
1914,538
1915,682
1916,718
1917,721
1918,728
1919,664
1920,680
1921,624
1922,613
1923,569
1924,546
1925,488
1926,510
1927,499
1928,507
1929,483
1930,550
1931,439
1932,454
1933,405
1934,397
1935,400
1936,445
1937,453
1938,444
1939,416
1940,429
1941,450
1942,532
1943,462
1944,456
1945,458
1946,530
1947,581
1948,522
1949,511
1950,506
1951,494
1952,504
1953,453
1954,461
1955,483
1956,451
1957,452
1958,478
1959,454
1960,432
1961,381
1962,344
1963,367
1964,341
1965,286
1966,242
1967,185
1968,157
1969,155
1970,135
1971,122
1972,108
1973,112
1974,98
1975,79
1976,90
1977,80
1978,67
1979,78
1980,75
1981,79
1982,49
1983,54
1984,56
1985,44
1986,44
1987,54
1988,48
1989,58
1990,52
1991,60
1992,48
1993,51
1994,45
1995,44
1996,45
1997,38
1998,40
1999,39
2000,28
2001,48
2002,40
2003,102
2004,54
2005,43
2006,47
2007,48
2008,31
2009,31
2010,37
2011,39
2012,28
