year,Hila
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,6
1888,0
1889,0
1890,8
1891,0
1892,5
1893,7
1894,8
1895,7
1896,6
1897,0
1898,6
1899,0
1900,6
1901,6
1902,0
1903,0
1904,7
1905,6
1906,0
1907,7
1908,6
1909,16
1910,0
1911,8
1912,6
1913,11
1914,7
1915,13
1916,12
1917,9
1918,5
1919,14
1920,11
1921,14
1922,14
1923,13
1924,6
1925,10
1926,5
1927,8
1928,11
1929,0
1930,6
1931,0
1932,8
1933,9
1934,9
1935,5
1936,7
1937,0
1938,7
1939,6
1940,0
1941,10
1942,0
1943,0
1944,5
1945,0
1946,0
1947,6
1948,6
1949,6
1950,0
1951,0
1952,0
1953,0
1954,7
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,5
1966,0
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,5
1982,5
1983,0
1984,0
1985,6
1986,6
1987,0
1988,6
1989,5
1990,5
1991,10
1992,0
1993,6
1994,6
1995,0
1996,9
1997,6
1998,0
1999,7
2000,7
2001,0
2002,5
2003,8
2004,0
2005,10
2006,7
2007,14
2008,12
2009,23
2010,9
2011,7
2012,15
