year,Howell
1880,14
1881,6
1882,11
1883,10
1884,12
1885,8
1886,8
1887,9
1888,7
1889,8
1890,11
1891,9
1892,9
1893,0
1894,13
1895,16
1896,9
1897,9
1898,8
1899,13
1900,14
1901,10
1902,9
1903,7
1904,6
1905,14
1906,8
1907,11
1908,8
1909,15
1910,13
1911,20
1912,28
1913,43
1914,56
1915,68
1916,69
1917,74
1918,66
1919,63
1920,93
1921,75
1922,65
1923,79
1924,78
1925,79
1926,73
1927,80
1928,61
1929,46
1930,51
1931,59
1932,61
1933,62
1934,67
1935,55
1936,67
1937,61
1938,56
1939,68
1940,60
1941,57
1942,47
1943,66
1944,48
1945,50
1946,57
1947,63
1948,51
1949,56
1950,75
1951,60
1952,57
1953,44
1954,59
1955,48
1956,56
1957,45
1958,52
1959,44
1960,33
1961,36
1962,36
1963,26
1964,42
1965,26
1966,31
1967,20
1968,21
1969,19
1970,18
1971,26
1972,14
1973,13
1974,12
1975,12
1976,10
1977,6
1978,15
1979,13
1980,8
1981,10
1982,10
1983,9
1984,7
1985,7
1986,5
1987,5
1988,10
1989,7
1990,13
1991,6
1992,6
1993,10
1994,0
1995,0
1996,5
1997,6
1998,0
1999,0
2000,9
2001,11
2002,0
2003,8
2004,0
2005,10
2006,0
2007,0
2008,7
2009,0
2010,0
2011,6
2012,7
