year,Hart
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,9
1914,5
1915,0
1916,5
1917,9
1918,9
1919,11
1920,9
1921,7
1922,6
1923,12
1924,11
1925,0
1926,7
1927,7
1928,9
1929,5
1930,10
1931,6
1932,10
1933,10
1934,5
1935,5
1936,9
1937,7
1938,13
1939,6
1940,5
1941,5
1942,0
1943,0
1944,7
1945,0
1946,8
1947,5
1948,7
1949,6
1950,6
1951,5
1952,8
1953,5
1954,10
1955,6
1956,9
1957,0
1958,5
1959,12
1960,0
1961,6
1962,6
1963,6
1964,7
1965,10
1966,8
1967,0
1968,6
1969,0
1970,8
1971,0
1972,0
1973,7
1974,0
1975,5
1976,5
1977,0
1978,6
1979,7
1980,5
1981,9
1982,12
1983,12
1984,10
1985,13
1986,10
1987,14
1988,10
1989,0
1990,7
1991,6
1992,12
1993,10
1994,14
1995,11
1996,10
1997,13
1998,10
1999,10
2000,15
2001,13
2002,5
2003,13
2004,10
2005,12
2006,11
2007,10
2008,17
2009,12
2010,19
2011,11
2012,18
