year,Holland
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,0
1890,5
1891,0
1892,0
1893,9
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,5
1905,0
1906,0
1907,5
1908,8
1909,0
1910,5
1911,14
1912,22
1913,9
1914,22
1915,28
1916,27
1917,34
1918,28
1919,36
1920,37
1921,43
1922,29
1923,31
1924,32
1925,37
1926,31
1927,36
1928,26
1929,28
1930,25
1931,34
1932,30
1933,27
1934,17
1935,20
1936,17
1937,16
1938,16
1939,19
1940,14
1941,21
1942,19
1943,22
1944,19
1945,17
1946,17
1947,22
1948,16
1949,13
1950,24
1951,22
1952,12
1953,20
1954,18
1955,14
1956,16
1957,17
1958,18
1959,6
1960,19
1961,15
1962,17
1963,8
1964,22
1965,20
1966,13
1967,11
1968,13
1969,19
1970,19
1971,20
1972,21
1973,19
1974,27
1975,27
1976,26
1977,34
1978,20
1979,38
1980,35
1981,63
1982,73
1983,53
1984,43
1985,64
1986,58
1987,68
1988,52
1989,60
1990,56
1991,72
1992,87
1993,82
1994,70
1995,61
1996,71
1997,81
1998,104
1999,121
2000,129
2001,117
2002,126
2003,130
2004,108
2005,131
2006,166
2007,126
2008,164
2009,162
2010,174
2011,162
2012,216
