year,Haskell
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,7
1888,0
1889,0
1890,0
1891,8
1892,7
1893,7
1894,6
1895,0
1896,7
1897,7
1898,6
1899,5
1900,6
1901,6
1902,9
1903,8
1904,7
1905,9
1906,20
1907,24
1908,31
1909,22
1910,30
1911,22
1912,48
1913,67
1914,60
1915,80
1916,92
1917,88
1918,86
1919,104
1920,79
1921,89
1922,97
1923,100
1924,99
1925,90
1926,84
1927,76
1928,77
1929,76
1930,87
1931,78
1932,73
1933,60
1934,59
1935,58
1936,73
1937,61
1938,52
1939,51
1940,58
1941,40
1942,62
1943,57
1944,44
1945,40
1946,39
1947,48
1948,36
1949,41
1950,32
1951,42
1952,33
1953,36
1954,34
1955,28
1956,34
1957,25
1958,24
1959,20
1960,27
1961,19
1962,24
1963,21
1964,19
1965,23
1966,25
1967,7
1968,13
1969,14
1970,13
1971,9
1972,10
1973,11
1974,14
1975,13
1976,9
1977,12
1978,14
1979,12
1980,11
1981,12
1982,7
1983,11
1984,0
1985,6
1986,10
1987,0
1988,0
1989,0
1990,8
1991,7
1992,5
1993,0
1994,0
1995,5
1996,5
1997,0
1998,6
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,6
2006,7
2007,0
2008,5
2009,0
2010,5
2011,5
2012,6
