year,Hortencia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,9
1910,6
1911,5
1912,8
1913,21
1914,22
1915,28
1916,26
1917,25
1918,38
1919,43
1920,50
1921,50
1922,64
1923,65
1924,61
1925,82
1926,67
1927,82
1928,66
1929,64
1930,82
1931,81
1932,56
1933,49
1934,52
1935,63
1936,79
1937,69
1938,59
1939,72
1940,46
1941,63
1942,69
1943,55
1944,60
1945,57
1946,60
1947,60
1948,76
1949,67
1950,71
1951,67
1952,66
1953,67
1954,55
1955,51
1956,46
1957,38
1958,51
1959,51
1960,59
1961,39
1962,31
1963,35
1964,31
1965,27
1966,29
1967,31
1968,28
1969,33
1970,27
1971,37
1972,32
1973,32
1974,26
1975,41
1976,36
1977,32
1978,37
1979,25
1980,32
1981,36
1982,35
1983,21
1984,23
1985,20
1986,12
1987,18
1988,22
1989,22
1990,25
1991,24
1992,17
1993,18
1994,22
1995,14
1996,21
1997,15
1998,9
1999,10
2000,11
2001,11
2002,12
2003,0
2004,7
2005,7
2006,14
2007,7
2008,5
2009,8
2010,5
2011,8
2012,6
