year,Henrietta
1880,191
1881,181
1882,211
1883,203
1884,240
1885,225
1886,288
1887,269
1888,349
1889,323
1890,366
1891,348
1892,429
1893,409
1894,400
1895,420
1896,417
1897,416
1898,430
1899,410
1900,491
1901,383
1902,437
1903,433
1904,449
1905,428
1906,475
1907,470
1908,468
1909,480
1910,525
1911,558
1912,822
1913,865
1914,1058
1915,1246
1916,1269
1917,1350
1918,1411
1919,1301
1920,1301
1921,1179
1922,1173
1923,1147
1924,1138
1925,1059
1926,958
1927,906
1928,852
1929,767
1930,682
1931,650
1932,625
1933,521
1934,531
1935,555
1936,553
1937,575
1938,545
1939,586
1940,540
1941,566
1942,661
1943,655
1944,526
1945,539
1946,547
1947,565
1948,540
1949,510
1950,460
1951,445
1952,426
1953,416
1954,382
1955,395
1956,360
1957,343
1958,306
1959,293
1960,273
1961,240
1962,229
1963,198
1964,195
1965,152
1966,153
1967,114
1968,114
1969,113
1970,113
1971,91
1972,68
1973,79
1974,57
1975,62
1976,48
1977,55
1978,43
1979,44
1980,36
1981,38
1982,34
1983,34
1984,36
1985,30
1986,26
1987,28
1988,29
1989,25
1990,36
1991,33
1992,36
1993,24
1994,16
1995,14
1996,19
1997,13
1998,18
1999,14
2000,14
2001,15
2002,15
2003,13
2004,15
2005,8
2006,11
2007,17
2008,17
2009,19
2010,26
2011,34
2012,46
