year,Harry (F),Harry (M)
1880,0.000030,0.010681
1881,0.000000,0.010390
1882,0.000063,0.010075
1883,0.000028,0.009726
1884,0.000062,0.009542
1885,0.000046,0.009126
1886,0.000059,0.008840
1887,0.000053,0.008315
1888,0.000043,0.009213
1889,0.000017,0.008856
1890,0.000040,0.007780
1891,0.000031,0.007437
1892,0.000033,0.007357
1893,0.000058,0.006903
1894,0.000030,0.006463
1895,0.000043,0.006062
1896,0.000031,0.005849
1897,0.000026,0.005416
1898,0.000013,0.005581
1899,0.000000,0.005106
1900,0.000016,0.005046
1901,0.000023,0.004609
1902,0.000028,0.004525
1903,0.000024,0.004321
1904,0.000022,0.004268
1905,0.000028,0.003819
1906,0.000033,0.003807
1907,0.000024,0.003896
1908,0.000014,0.003958
1909,0.000018,0.003763
1910,0.000015,0.003348
1911,0.000019,0.003939
1912,0.000024,0.004680
1913,0.000019,0.004800
1914,0.000017,0.004651
1915,0.000015,0.004622
1916,0.000024,0.004382
1917,0.000017,0.004413
1918,0.000019,0.004558
1919,0.000018,0.004260
1920,0.000020,0.004157
1921,0.000023,0.004168
1922,0.000019,0.003966
1923,0.000023,0.004023
1924,0.000018,0.003826
1925,0.000019,0.003690
1926,0.000023,0.003578
1927,0.000024,0.003457
1928,0.000027,0.003364
1929,0.000027,0.003258
1930,0.000020,0.003080
1931,0.000017,0.002872
1932,0.000019,0.002702
1933,0.000014,0.002568
1934,0.000010,0.002456
1935,0.000016,0.002419
1936,0.000012,0.002373
1937,0.000011,0.002259
1938,0.000009,0.002180
1939,0.000007,0.002116
1940,0.000007,0.002033
1941,0.000010,0.002075
1942,0.000007,0.002060
1943,0.000008,0.002027
1944,0.000008,0.002036
1945,0.000008,0.002130
1946,0.000007,0.001887
1947,0.000004,0.001808
1948,0.000006,0.001722
1949,0.000005,0.001590
1950,0.000005,0.001534
1951,0.000004,0.001440
1952,0.000004,0.001314
1953,0.000003,0.001188
1954,0.000004,0.001094
1955,0.000004,0.001032
1956,0.000004,0.000952
1957,0.000004,0.000904
1958,0.000004,0.000867
1959,0.000004,0.000788
1960,0.000005,0.000727
1961,0.000005,0.000662
1962,0.000002,0.000651
1963,0.000003,0.000630
1964,0.000003,0.000617
1965,0.000003,0.000582
1966,0.000003,0.000573
1967,0.000003,0.000553
1968,0.000004,0.000526
1969,0.000003,0.000468
1970,0.000003,0.000470
1971,0.000002,0.000446
1972,0.000004,0.000424
1973,0.000002,0.000399
1974,0.000005,0.000355
1975,0.000004,0.000355
1976,0.000003,0.000318
1977,0.000003,0.000299
1978,0.000003,0.000288
1979,0.000003,0.000275
1980,0.000002,0.000250
1981,0.000001,0.000242
1982,0.000002,0.000219
1983,0.000003,0.000217
1984,0.000002,0.000208
1985,0.000002,0.000219
1986,0.000000,0.000190
1987,0.000001,0.000197
1988,0.000002,0.000182
1989,0.000000,0.000194
1990,0.000000,0.000158
1991,0.000000,0.000163
1992,0.000000,0.000168
1993,0.000000,0.000150
1994,0.000000,0.000148
1995,0.000000,0.000139
1996,0.000000,0.000132
1997,0.000000,0.000124
1998,0.000000,0.000131
1999,0.000000,0.000125
2000,0.000000,0.000116
2001,0.000000,0.000121
2002,0.000000,0.000117
2003,0.000000,0.000118
2004,0.000000,0.000117
2005,0.000000,0.000119
2006,0.000000,0.000105
2007,0.000000,0.000111
2008,0.000000,0.000097
2009,0.000000,0.000101
2010,0.000000,0.000099
2011,0.000000,0.000089
2012,0.000000,0.000089
2013,0.000000,0.000091
2014,0.000000,0.000091
2015,0.000000,0.000081
2016,0.000000,0.000103
2017,0.000000,0.000112
2018,0.000000,0.000122
2019,0.000000,0.000120
2020,0.000000,0.000103
