year,Hartley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,10
1896,0
1897,0
1898,0
1899,5
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,5
1909,10
1910,0
1911,0
1912,12
1913,10
1914,21
1915,28
1916,20
1917,23
1918,36
1919,28
1920,31
1921,33
1922,27
1923,30
1924,27
1925,31
1926,20
1927,35
1928,13
1929,23
1930,35
1931,26
1932,31
1933,24
1934,17
1935,20
1936,18
1937,21
1938,22
1939,15
1940,14
1941,27
1942,17
1943,21
1944,18
1945,21
1946,13
1947,22
1948,14
1949,20
1950,10
1951,15
1952,8
1953,16
1954,6
1955,9
1956,12
1957,10
1958,12
1959,0
1960,8
1961,9
1962,0
1963,9
1964,8
1965,6
1966,10
1967,5
1968,7
1969,12
1970,6
1971,0
1972,5
1973,5
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,6
1981,5
1982,9
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,14
1990,15
1991,14
1992,7
1993,12
1994,16
1995,16
1996,16
1997,17
1998,8
1999,19
2000,14
2001,15
2002,17
2003,26
2004,25
2005,20
2006,19
2007,25
2008,36
2009,39
2010,107
2011,113
2012,117
