year,Haven
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,9
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,6
1913,10
1914,12
1915,11
1916,17
1917,19
1918,25
1919,18
1920,27
1921,16
1922,20
1923,10
1924,12
1925,14
1926,17
1927,15
1928,15
1929,19
1930,13
1931,14
1932,17
1933,8
1934,9
1935,13
1936,11
1937,28
1938,10
1939,6
1940,15
1941,20
1942,22
1943,13
1944,16
1945,17
1946,26
1947,28
1948,13
1949,14
1950,12
1951,15
1952,18
1953,14
1954,11
1955,8
1956,22
1957,6
1958,18
1959,14
1960,6
1961,20
1962,13
1963,10
1964,20
1965,0
1966,0
1967,8
1968,17
1969,19
1970,26
1971,24
1972,7
1973,16
1974,26
1975,21
1976,40
1977,54
1978,71
1979,53
1980,65
1981,59
1982,45
1983,31
1984,24
1985,33
1986,23
1987,29
1988,43
1989,50
1990,53
1991,54
1992,72
1993,91
1994,163
1995,143
1996,243
1997,218
1998,277
1999,357
2000,367
2001,490
2002,503
2003,571
2004,528
2005,585
2006,613
2007,693
2008,671
2009,687
2010,613
2011,643
2012,876
