year,Hanson
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,6
1901,0
1902,0
1903,5
1904,5
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,11
1914,6
1915,9
1916,10
1917,11
1918,9
1919,8
1920,10
1921,9
1922,13
1923,8
1924,8
1925,14
1926,10
1927,11
1928,6
1929,8
1930,7
1931,14
1932,8
1933,7
1934,9
1935,8
1936,5
1937,10
1938,0
1939,7
1940,11
1941,0
1942,9
1943,10
1944,5
1945,9
1946,8
1947,16
1948,5
1949,17
1950,0
1951,13
1952,6
1953,8
1954,9
1955,8
1956,7
1957,13
1958,11
1959,5
1960,5
1961,9
1962,9
1963,7
1964,9
1965,0
1966,8
1967,5
1968,8
1969,0
1970,5
1971,5
1972,0
1973,0
1974,7
1975,9
1976,9
1977,10
1978,7
1979,13
1980,9
1981,7
1982,9
1983,17
1984,19
1985,16
1986,12
1987,12
1988,8
1989,17
1990,17
1991,10
1992,12
1993,21
1994,17
1995,20
1996,13
1997,29
1998,29
1999,24
2000,36
2001,32
2002,40
2003,35
2004,26
2005,28
2006,27
2007,32
2008,28
2009,23
2010,29
2011,39
2012,43
