year,Helena
1880,60
1881,61
1882,60
1883,69
1884,86
1885,86
1886,69
1887,78
1888,103
1889,103
1890,100
1891,94
1892,124
1893,99
1894,106
1895,107
1896,118
1897,131
1898,133
1899,135
1900,112
1901,119
1902,133
1903,108
1904,112
1905,106
1906,93
1907,139
1908,124
1909,151
1910,175
1911,175
1912,220
1913,245
1914,327
1915,405
1916,424
1917,440
1918,488
1919,440
1920,384
1921,391
1922,358
1923,371
1924,386
1925,351
1926,257
1927,286
1928,270
1929,252
1930,242
1931,247
1932,223
1933,205
1934,187
1935,190
1936,177
1937,198
1938,168
1939,195
1940,200
1941,194
1942,218
1943,209
1944,183
1945,178
1946,229
1947,219
1948,210
1949,226
1950,218
1951,227
1952,208
1953,229
1954,211
1955,209
1956,225
1957,263
1958,229
1959,248
1960,216
1961,238
1962,252
1963,272
1964,305
1965,260
1966,225
1967,196
1968,184
1969,192
1970,201
1971,187
1972,189
1973,188
1974,194
1975,205
1976,187
1977,212
1978,213
1979,244
1980,218
1981,220
1982,243
1983,206
1984,200
1985,186
1986,206
1987,166
1988,184
1989,175
1990,199
1991,196
1992,187
1993,233
1994,287
1995,340
1996,348
1997,310
1998,339
1999,415
2000,367
2001,415
2002,432
2003,541
2004,511
2005,529
2006,595
2007,584
2008,501
2009,532
2010,548
2011,491
2012,524
