year,Hazen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,11
1897,6
1898,8
1899,0
1900,6
1901,8
1902,5
1903,6
1904,0
1905,0
1906,0
1907,0
1908,5
1909,5
1910,6
1911,5
1912,11
1913,11
1914,11
1915,17
1916,23
1917,22
1918,28
1919,29
1920,28
1921,24
1922,33
1923,28
1924,21
1925,29
1926,24
1927,20
1928,21
1929,21
1930,18
1931,16
1932,18
1933,11
1934,13
1935,20
1936,13
1937,11
1938,13
1939,0
1940,12
1941,8
1942,9
1943,6
1944,13
1945,11
1946,10
1947,15
1948,10
1949,6
1950,6
1951,9
1952,11
1953,8
1954,5
1955,0
1956,5
1957,13
1958,11
1959,6
1960,5
1961,11
1962,5
1963,9
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,8
1974,7
1975,0
1976,11
1977,0
1978,5
1979,8
1980,0
1981,7
1982,6
1983,6
1984,10
1985,10
1986,0
1987,6
1988,9
1989,5
1990,8
1991,0
1992,14
1993,8
1994,10
1995,10
1996,10
1997,13
1998,19
1999,11
2000,21
2001,27
2002,30
2003,22
2004,18
2005,37
2006,33
2007,48
2008,36
2009,41
2010,40
2011,52
2012,46
