year,Hannibal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,9
1914,8
1915,9
1916,0
1917,6
1918,8
1919,0
1920,0
1921,14
1922,6
1923,5
1924,11
1925,11
1926,6
1927,7
1928,0
1929,8
1930,0
1931,0
1932,5
1933,5
1934,0
1935,7
1936,0
1937,6
1938,8
1939,0
1940,7
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,9
1960,7
1961,0
1962,6
1963,6
1964,0
1965,0
1966,8
1967,5
1968,6
1969,7
1970,5
1971,9
1972,12
1973,10
1974,8
1975,6
1976,7
1977,15
1978,6
1979,10
1980,17
1981,9
1982,14
1983,15
1984,14
1985,14
1986,8
1987,13
1988,11
1989,13
1990,11
1991,10
1992,0
1993,10
1994,12
1995,9
1996,10
1997,9
1998,7
1999,6
2000,8
2001,7
2002,7
2003,0
2004,0
2005,7
2006,6
2007,14
2008,7
2009,7
2010,7
2011,15
2012,13
