year,Humphrey
1880,5
1881,6
1882,8
1883,6
1884,7
1885,0
1886,0
1887,5
1888,5
1889,8
1890,0
1891,5
1892,8
1893,10
1894,9
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,6
1906,5
1907,8
1908,0
1909,5
1910,7
1911,0
1912,17
1913,12
1914,13
1915,20
1916,14
1917,19
1918,21
1919,14
1920,17
1921,18
1922,13
1923,11
1924,22
1925,9
1926,18
1927,15
1928,12
1929,16
1930,17
1931,9
1932,16
1933,14
1934,18
1935,6
1936,6
1937,5
1938,0
1939,6
1940,8
1941,0
1942,9
1943,16
1944,8
1945,13
1946,13
1947,7
1948,14
1949,13
1950,14
1951,17
1952,12
1953,14
1954,18
1955,15
1956,5
1957,16
1958,17
1959,14
1960,8
1961,6
1962,11
1963,14
1964,14
1965,7
1966,11
1967,10
1968,11
1969,8
1970,8
1971,7
1972,6
1973,5
1974,5
1975,7
1976,8
1977,5
1978,0
1979,5
1980,8
1981,5
1982,5
1983,5
1984,0
1985,9
1986,5
1987,0
1988,7
1989,12
1990,8
1991,10
1992,0
1993,7
1994,6
1995,0
1996,7
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,8
2005,0
2006,0
2007,0
2008,6
2009,6
2010,0
2011,6
2012,7
