year,Harlan
1880,8
1881,13
1882,8
1883,5
1884,14
1885,10
1886,12
1887,8
1888,14
1889,14
1890,13
1891,8
1892,12
1893,10
1894,17
1895,12
1896,12
1897,21
1898,11
1899,21
1900,19
1901,20
1902,24
1903,16
1904,31
1905,25
1906,24
1907,35
1908,31
1909,33
1910,41
1911,63
1912,101
1913,140
1914,211
1915,266
1916,294
1917,268
1918,321
1919,307
1920,331
1921,415
1922,386
1923,432
1924,518
1925,477
1926,407
1927,427
1928,435
1929,356
1930,425
1931,424
1932,436
1933,365
1934,393
1935,388
1936,400
1937,332
1938,379
1939,349
1940,301
1941,352
1942,356
1943,352
1944,281
1945,323
1946,335
1947,335
1948,318
1949,313
1950,272
1951,301
1952,317
1953,273
1954,273
1955,298
1956,253
1957,267
1958,243
1959,219
1960,233
1961,228
1962,236
1963,204
1964,195
1965,167
1966,146
1967,152
1968,141
1969,121
1970,139
1971,110
1972,115
1973,93
1974,72
1975,94
1976,94
1977,82
1978,77
1979,89
1980,85
1981,95
1982,92
1983,68
1984,64
1985,72
1986,65
1987,68
1988,67
1989,57
1990,89
1991,75
1992,65
1993,63
1994,76
1995,77
1996,51
1997,53
1998,75
1999,59
2000,82
2001,63
2002,66
2003,68
2004,58
2005,74
2006,88
2007,88
2008,134
2009,148
2010,174
2011,174
2012,193
