year,Hurley
1880,0
1881,6
1882,8
1883,0
1884,6
1885,0
1886,5
1887,5
1888,6
1889,0
1890,9
1891,5
1892,9
1893,5
1894,0
1895,8
1896,11
1897,9
1898,11
1899,7
1900,6
1901,0
1902,9
1903,8
1904,11
1905,8
1906,10
1907,5
1908,9
1909,10
1910,15
1911,11
1912,13
1913,24
1914,42
1915,29
1916,28
1917,43
1918,39
1919,54
1920,37
1921,41
1922,33
1923,46
1924,35
1925,42
1926,54
1927,31
1928,48
1929,39
1930,47
1931,38
1932,48
1933,34
1934,36
1935,48
1936,45
1937,34
1938,39
1939,38
1940,31
1941,24
1942,36
1943,29
1944,37
1945,33
1946,49
1947,26
1948,38
1949,35
1950,37
1951,26
1952,29
1953,35
1954,27
1955,15
1956,38
1957,27
1958,23
1959,17
1960,12
1961,16
1962,12
1963,19
1964,17
1965,20
1966,14
1967,10
1968,13
1969,15
1970,16
1971,11
1972,9
1973,16
1974,9
1975,11
1976,9
1977,5
1978,7
1979,0
1980,8
1981,10
1982,6
1983,6
1984,6
1985,0
1986,9
1987,8
1988,8
1989,8
1990,6
1991,0
1992,8
1993,0
1994,0
1995,6
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,6
2005,7
2006,5
2007,23
2008,29
2009,38
2010,17
2011,45
2012,34
