year,Harlie
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,5
1893,0
1894,5
1895,5
1896,0
1897,0
1898,5
1899,0
1900,0
1901,6
1902,0
1903,7
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,6
1911,5
1912,8
1913,11
1914,16
1915,19
1916,23
1917,23
1918,37
1919,31
1920,25
1921,24
1922,25
1923,28
1924,17
1925,29
1926,10
1927,18
1928,16
1929,18
1930,13
1931,10
1932,13
1933,12
1934,13
1935,16
1936,9
1937,12
1938,16
1939,16
1940,13
1941,8
1942,7
1943,16
1944,9
1945,13
1946,13
1947,9
1948,9
1949,12
1950,9
1951,0
1952,12
1953,6
1954,0
1955,9
1956,0
1957,7
1958,5
1959,7
1960,0
1961,0
1962,0
1963,8
1964,0
1965,6
1966,5
1967,0
1968,0
1969,0
1970,0
1971,7
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,17
1990,15
1991,32
1992,53
1993,89
1994,144
1995,109
1996,143
1997,113
1998,115
1999,128
2000,143
2001,178
2002,122
2003,173
2004,149
2005,157
2006,164
2007,166
2008,129
2009,164
2010,130
2011,140
2012,136
