year,Harris
1880,18
1881,15
1882,16
1883,15
1884,20
1885,14
1886,19
1887,12
1888,27
1889,31
1890,17
1891,26
1892,28
1893,18
1894,22
1895,22
1896,27
1897,26
1898,25
1899,20
1900,33
1901,11
1902,26
1903,21
1904,18
1905,26
1906,31
1907,26
1908,38
1909,40
1910,33
1911,51
1912,83
1913,120
1914,143
1915,196
1916,203
1917,182
1918,239
1919,201
1920,226
1921,245
1922,233
1923,230
1924,224
1925,212
1926,214
1927,210
1928,225
1929,213
1930,182
1931,182
1932,155
1933,173
1934,168
1935,182
1936,142
1937,158
1938,143
1939,143
1940,158
1941,150
1942,175
1943,160
1944,157
1945,180
1946,161
1947,190
1948,166
1949,169
1950,172
1951,136
1952,143
1953,156
1954,141
1955,137
1956,132
1957,124
1958,112
1959,107
1960,106
1961,86
1962,82
1963,99
1964,78
1965,67
1966,82
1967,75
1968,60
1969,58
1970,66
1971,61
1972,71
1973,66
1974,61
1975,69
1976,49
1977,63
1978,64
1979,81
1980,48
1981,74
1982,62
1983,57
1984,68
1985,78
1986,72
1987,81
1988,99
1989,104
1990,99
1991,110
1992,115
1993,115
1994,103
1995,118
1996,102
1997,122
1998,142
1999,141
2000,132
2001,140
2002,143
2003,145
2004,137
2005,116
2006,142
2007,158
2008,139
2009,121
2010,115
2011,125
2012,138
