year,Gentry
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,8
1909,5
1910,0
1911,6
1912,12
1913,10
1914,12
1915,17
1916,13
1917,16
1918,26
1919,16
1920,15
1921,23
1922,16
1923,21
1924,14
1925,11
1926,25
1927,18
1928,19
1929,19
1930,19
1931,18
1932,12
1933,10
1934,18
1935,15
1936,15
1937,11
1938,17
1939,12
1940,16
1941,15
1942,14
1943,16
1944,13
1945,16
1946,15
1947,18
1948,9
1949,15
1950,8
1951,25
1952,14
1953,14
1954,23
1955,12
1956,18
1957,24
1958,19
1959,18
1960,27
1961,32
1962,16
1963,25
1964,24
1965,14
1966,19
1967,24
1968,27
1969,30
1970,53
1971,43
1972,32
1973,35
1974,33
1975,34
1976,33
1977,37
1978,51
1979,53
1980,61
1981,51
1982,46
1983,43
1984,53
1985,52
1986,60
1987,73
1988,54
1989,64
1990,64
1991,69
1992,71
1993,67
1994,76
1995,61
1996,58
1997,61
1998,58
1999,78
2000,60
2001,90
2002,75
2003,92
2004,75
2005,92
2006,77
2007,119
2008,127
2009,108
2010,135
2011,125
2012,216
