year,Genia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,5
1906,7
1907,7
1908,0
1909,0
1910,0
1911,0
1912,5
1913,8
1914,6
1915,9
1916,0
1917,7
1918,13
1919,5
1920,7
1921,8
1922,14
1923,5
1924,0
1925,0
1926,6
1927,5
1928,0
1929,0
1930,8
1931,0
1932,7
1933,5
1934,5
1935,6
1936,5
1937,0
1938,6
1939,6
1940,6
1941,10
1942,0
1943,0
1944,15
1945,9
1946,13
1947,12
1948,12
1949,18
1950,15
1951,12
1952,15
1953,13
1954,19
1955,15
1956,32
1957,38
1958,27
1959,46
1960,41
1961,52
1962,38
1963,54
1964,57
1965,44
1966,46
1967,41
1968,43
1969,47
1970,47
1971,45
1972,52
1973,28
1974,34
1975,25
1976,29
1977,34
1978,40
1979,23
1980,24
1981,30
1982,16
1983,19
1984,17
1985,19
1986,10
1987,16
1988,14
1989,11
1990,5
1991,14
1992,8
1993,5
1994,5
1995,5
1996,6
1997,5
1998,11
1999,12
2000,7
2001,11
2002,9
2003,8
2004,5
2005,6
2006,5
2007,5
2008,8
2009,17
2010,0
2011,0
2012,0
