year,Gay
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,11
1887,10
1888,22
1889,12
1890,24
1891,18
1892,24
1893,17
1894,24
1895,10
1896,23
1897,18
1898,15
1899,33
1900,18
1901,13
1902,17
1903,24
1904,16
1905,15
1906,20
1907,30
1908,20
1909,26
1910,35
1911,29
1912,39
1913,49
1914,57
1915,81
1916,93
1917,101
1918,79
1919,84
1920,84
1921,81
1922,74
1923,87
1924,87
1925,112
1926,103
1927,109
1928,120
1929,145
1930,190
1931,193
1932,246
1933,253
1934,264
1935,299
1936,350
1937,366
1938,353
1939,373
1940,328
1941,410
1942,416
1943,511
1944,422
1945,425
1946,506
1947,567
1948,510
1949,511
1950,506
1951,575
1952,661
1953,603
1954,660
1955,507
1956,555
1957,597
1958,501
1959,691
1960,640
1961,603
1962,452
1963,388
1964,357
1965,310
1966,243
1967,183
1968,175
1969,133
1970,129
1971,83
1972,65
1973,22
1974,36
1975,30
1976,16
1977,13
1978,8
1979,10
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
