year,Gussie
1880,54
1881,50
1882,70
1883,68
1884,67
1885,87
1886,95
1887,87
1888,124
1889,133
1890,130
1891,137
1892,151
1893,138
1894,170
1895,155
1896,167
1897,177
1898,188
1899,145
1900,243
1901,173
1902,194
1903,176
1904,178
1905,213
1906,197
1907,200
1908,220
1909,218
1910,255
1911,258
1912,280
1913,297
1914,355
1915,366
1916,414
1917,396
1918,417
1919,407
1920,361
1921,333
1922,348
1923,289
1924,295
1925,320
1926,277
1927,247
1928,202
1929,176
1930,190
1931,170
1932,177
1933,171
1934,133
1935,131
1936,150
1937,160
1938,137
1939,131
1940,141
1941,125
1942,103
1943,94
1944,128
1945,87
1946,78
1947,92
1948,80
1949,71
1950,90
1951,88
1952,69
1953,45
1954,62
1955,56
1956,58
1957,46
1958,44
1959,49
1960,32
1961,39
1962,37
1963,18
1964,22
1965,18
1966,25
1967,12
1968,13
1969,8
1970,15
1971,11
1972,8
1973,7
1974,8
1975,0
1976,6
1977,0
1978,0
1979,11
1980,5
1981,9
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,5
1990,0
1991,8
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
