year,Grace (F),Grace (M)
1880,0.004874,0.000030
1881,0.005651,0.000000
1882,0.005394,0.000027
1883,0.006024,0.000000
1884,0.006264,0.000041
1885,0.006539,0.000021
1886,0.006748,0.000047
1887,0.006839,0.000000
1888,0.006979,0.000033
1889,0.007091,0.000000
1890,0.007558,0.000036
1891,0.007283,0.000038
1892,0.006875,0.000039
1893,0.007097,0.000031
1894,0.006971,0.000018
1895,0.006974,0.000026
1896,0.006951,0.000031
1897,0.007084,0.000029
1898,0.007146,0.000039
1899,0.006936,0.000027
1900,0.006535,0.000024
1901,0.006934,0.000014
1902,0.006831,0.000016
1903,0.006860,0.000024
1904,0.006228,0.000022
1905,0.006204,0.000031
1906,0.006129,0.000023
1907,0.005902,0.000026
1908,0.005937,0.000035
1909,0.005696,0.000022
1910,0.005324,0.000015
1911,0.005128,0.000020
1912,0.004472,0.000014
1913,0.004104,0.000018
1914,0.003950,0.000009
1915,0.003844,0.000010
1916,0.003857,0.000012
1917,0.003674,0.000008
1918,0.003579,0.000010
1919,0.003409,0.000005
1920,0.003170,0.000009
1921,0.003098,0.000009
1922,0.002945,0.000011
1923,0.002743,0.000008
1924,0.002657,0.000006
1925,0.002563,0.000009
1926,0.002365,0.000010
1927,0.002286,0.000012
1928,0.002208,0.000010
1929,0.002083,0.000014
1930,0.001897,0.000009
1931,0.001765,0.000009
1932,0.001675,0.000009
1933,0.001664,0.000009
1934,0.001487,0.000007
1935,0.001434,0.000005
1936,0.001343,0.000011
1937,0.001272,0.000002
1938,0.001179,0.000005
1939,0.001076,0.000008
1940,0.001036,0.000007
1941,0.000864,0.000002
1942,0.000790,0.000005
1943,0.000752,0.000005
1944,0.000716,0.000003
1945,0.000658,0.000002
1946,0.000552,0.000000
1947,0.000523,0.000001
1948,0.000486,0.000002
1949,0.000462,0.000000
1950,0.000431,0.000002
1951,0.000429,0.000000
1952,0.000401,0.000000
1953,0.000358,0.000001
1954,0.000354,0.000002
1955,0.000346,0.000001
1956,0.000446,0.000002
1957,0.000457,0.000001
1958,0.000413,0.000001
1959,0.000399,0.000002
1960,0.000378,0.000000
1961,0.000349,0.000000
1962,0.000329,0.000000
1963,0.000321,0.000002
1964,0.000311,0.000002
1965,0.000308,0.000002
1966,0.000270,0.000000
1967,0.000264,0.000000
1968,0.000222,0.000001
1969,0.000200,0.000000
1970,0.000215,0.000000
1971,0.000198,0.000000
1972,0.000193,0.000000
1973,0.000201,0.000000
1974,0.000176,0.000000
1975,0.000188,0.000000
1976,0.000174,0.000000
1977,0.000166,0.000000
1978,0.000185,0.000000
1979,0.000207,0.000000
1980,0.000220,0.000000
1981,0.000240,0.000001
1982,0.000270,0.000002
1983,0.000288,0.000002
1984,0.000291,0.000000
1985,0.000297,0.000001
1986,0.000324,0.000000
1987,0.000382,0.000002
1988,0.000462,0.000002
1989,0.000501,0.000004
1990,0.000554,0.000000
1991,0.000613,0.000003
1992,0.000690,0.000002
1993,0.000717,0.000002
1994,0.000854,0.000000
1995,0.000948,0.000000
1996,0.001027,0.000003
1997,0.001280,0.000002
1998,0.001555,0.000001
1999,0.002486,0.000002
2000,0.002988,0.000003
2001,0.003231,0.000003
2002,0.003227,0.000004
2003,0.003362,0.000005
2004,0.003282,0.000010
2005,0.003088,0.000007
2006,0.002775,0.000004
2007,0.002446,0.000004
2008,0.002302,0.000005
2009,0.002179,0.000003
2010,0.002082,0.000002
2011,0.002089,0.000002
2012,0.002017,0.000002
2013,0.002022,0.000004
