year,Griffin
1880,0
1881,6
1882,5
1883,0
1884,7
1885,5
1886,0
1887,5
1888,0
1889,7
1890,7
1891,6
1892,5
1893,0
1894,5
1895,0
1896,5
1897,6
1898,6
1899,0
1900,7
1901,8
1902,6
1903,9
1904,5
1905,9
1906,9
1907,0
1908,8
1909,0
1910,8
1911,11
1912,14
1913,14
1914,22
1915,16
1916,19
1917,23
1918,23
1919,25
1920,24
1921,23
1922,18
1923,22
1924,23
1925,23
1926,25
1927,15
1928,26
1929,23
1930,13
1931,12
1932,14
1933,19
1934,17
1935,18
1936,12
1937,17
1938,12
1939,15
1940,17
1941,19
1942,13
1943,17
1944,16
1945,11
1946,23
1947,22
1948,20
1949,19
1950,14
1951,18
1952,19
1953,15
1954,21
1955,24
1956,13
1957,18
1958,19
1959,21
1960,14
1961,15
1962,14
1963,17
1964,15
1965,15
1966,11
1967,17
1968,14
1969,30
1970,16
1971,19
1972,12
1973,19
1974,23
1975,30
1976,56
1977,62
1978,64
1979,72
1980,67
1981,52
1982,62
1983,85
1984,90
1985,154
1986,144
1987,261
1988,242
1989,261
1990,289
1991,266
1992,339
1993,454
1994,588
1995,701
1996,1015
1997,1401
1998,1508
1999,1559
2000,1482
2001,1434
2002,1487
2003,1552
2004,1403
2005,1391
2006,1368
2007,1509
2008,1517
2009,1571
2010,1535
2011,1587
2012,1665
