year,Gardner
1880,5
1881,0
1882,0
1883,0
1884,7
1885,0
1886,9
1887,7
1888,6
1889,5
1890,0
1891,7
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,7
1899,5
1900,6
1901,5
1902,6
1903,6
1904,9
1905,8
1906,7
1907,0
1908,10
1909,12
1910,17
1911,12
1912,23
1913,32
1914,43
1915,65
1916,58
1917,61
1918,57
1919,58
1920,56
1921,56
1922,58
1923,45
1924,55
1925,41
1926,50
1927,32
1928,43
1929,45
1930,36
1931,37
1932,35
1933,34
1934,37
1935,30
1936,35
1937,32
1938,30
1939,27
1940,31
1941,28
1942,29
1943,30
1944,40
1945,31
1946,36
1947,33
1948,35
1949,32
1950,27
1951,22
1952,23
1953,31
1954,26
1955,21
1956,29
1957,14
1958,13
1959,26
1960,34
1961,43
1962,53
1963,44
1964,34
1965,33
1966,29
1967,26
1968,23
1969,25
1970,20
1971,25
1972,20
1973,16
1974,13
1975,15
1976,17
1977,11
1978,15
1979,13
1980,13
1981,7
1982,15
1983,17
1984,18
1985,15
1986,8
1987,13
1988,15
1989,14
1990,13
1991,13
1992,9
1993,14
1994,11
1995,12
1996,8
1997,14
1998,11
1999,7
2000,16
2001,17
2002,10
2003,7
2004,12
2005,9
2006,12
2007,13
2008,14
2009,8
2010,14
2011,17
2012,13
