year,Gill
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,8
1915,0
1916,7
1917,0
1918,0
1919,6
1920,7
1921,7
1922,5
1923,0
1924,9
1925,10
1926,6
1927,6
1928,10
1929,7
1930,0
1931,0
1932,0
1933,12
1934,7
1935,7
1936,8
1937,5
1938,6
1939,7
1940,11
1941,15
1942,12
1943,21
1944,5
1945,14
1946,18
1947,30
1948,36
1949,31
1950,40
1951,43
1952,33
1953,38
1954,35
1955,42
1956,50
1957,39
1958,42
1959,40
1960,24
1961,28
1962,34
1963,27
1964,34
1965,20
1966,19
1967,12
1968,17
1969,16
1970,13
1971,13
1972,13
1973,13
1974,9
1975,9
1976,10
1977,7
1978,9
1979,9
1980,5
1981,8
1982,12
1983,11
1984,6
1985,10
1986,7
1987,6
1988,6
1989,5
1990,9
1991,6
1992,10
1993,10
1994,5
1995,6
1996,12
1997,5
1998,7
1999,9
2000,6
2001,0
2002,5
2003,0
2004,5
2005,8
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
