year,Gwendolyn
1880,5
1881,5
1882,0
1883,0
1884,0
1885,0
1886,6
1887,8
1888,9
1889,12
1890,11
1891,6
1892,18
1893,15
1894,16
1895,28
1896,24
1897,27
1898,33
1899,27
1900,37
1901,39
1902,57
1903,62
1904,75
1905,68
1906,87
1907,100
1908,127
1909,123
1910,151
1911,194
1912,276
1913,298
1914,382
1915,575
1916,574
1917,577
1918,657
1919,647
1920,758
1921,819
1922,771
1923,849
1924,888
1925,891
1926,854
1927,959
1928,987
1929,900
1930,964
1931,902
1932,933
1933,934
1934,1001
1935,992
1936,949
1937,1097
1938,1215
1939,1191
1940,1232
1941,1276
1942,1385
1943,1535
1944,1536
1945,1560
1946,2066
1947,2457
1948,2521
1949,2836
1950,3052
1951,3197
1952,3344
1953,3524
1954,3424
1955,3465
1956,3393
1957,3311
1958,2674
1959,2660
1960,2562
1961,2537
1962,2511
1963,2264
1964,1901
1965,1707
1966,1417
1967,1342
1968,1246
1969,1205
1970,1228
1971,1087
1972,869
1973,763
1974,801
1975,793
1976,731
1977,584
1978,543
1979,533
1980,486
1981,444
1982,432
1983,392
1984,359
1985,408
1986,370
1987,317
1988,310
1989,318
1990,314
1991,314
1992,317
1993,267
1994,289
1995,228
1996,282
1997,311
1998,315
1999,347
2000,316
2001,373
2002,453
2003,458
2004,475
2005,507
2006,457
2007,455
2008,526
2009,522
2010,516
2011,509
2012,589
