year,Gaetano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,5
1906,0
1907,8
1908,9
1909,7
1910,20
1911,18
1912,43
1913,46
1914,64
1915,72
1916,76
1917,77
1918,79
1919,51
1920,77
1921,87
1922,70
1923,76
1924,60
1925,47
1926,56
1927,64
1928,65
1929,55
1930,42
1931,37
1932,30
1933,28
1934,29
1935,29
1936,35
1937,23
1938,31
1939,32
1940,22
1941,25
1942,30
1943,20
1944,20
1945,19
1946,19
1947,23
1948,16
1949,27
1950,15
1951,16
1952,34
1953,24
1954,25
1955,17
1956,27
1957,24
1958,30
1959,23
1960,24
1961,30
1962,31
1963,37
1964,37
1965,42
1966,40
1967,29
1968,35
1969,44
1970,48
1971,49
1972,37
1973,35
1974,47
1975,32
1976,15
1977,24
1978,29
1979,32
1980,31
1981,28
1982,30
1983,23
1984,30
1985,23
1986,29
1987,28
1988,19
1989,33
1990,21
1991,26
1992,20
1993,36
1994,24
1995,25
1996,28
1997,28
1998,34
1999,25
2000,27
2001,28
2002,28
2003,27
2004,27
2005,29
2006,25
2007,21
2008,23
2009,21
2010,15
2011,18
2012,33
