year,Gerrit
1880,0
1881,6
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,7
1907,5
1908,6
1909,7
1910,6
1911,0
1912,9
1913,22
1914,33
1915,45
1916,49
1917,37
1918,37
1919,39
1920,40
1921,38
1922,37
1923,35
1924,35
1925,35
1926,22
1927,38
1928,31
1929,25
1930,20
1931,22
1932,20
1933,18
1934,24
1935,16
1936,16
1937,18
1938,23
1939,24
1940,18
1941,14
1942,18
1943,19
1944,8
1945,11
1946,14
1947,18
1948,16
1949,10
1950,12
1951,13
1952,29
1953,9
1954,24
1955,13
1956,31
1957,18
1958,12
1959,18
1960,11
1961,20
1962,14
1963,17
1964,15
1965,13
1966,13
1967,19
1968,29
1969,17
1970,20
1971,12
1972,16
1973,20
1974,25
1975,29
1976,32
1977,34
1978,35
1979,36
1980,32
1981,27
1982,27
1983,28
1984,24
1985,20
1986,27
1987,26
1988,28
1989,41
1990,31
1991,31
1992,40
1993,35
1994,40
1995,42
1996,42
1997,39
1998,45
1999,37
2000,41
2001,29
2002,35
2003,35
2004,32
2005,31
2006,32
2007,28
2008,29
2009,22
2010,24
2011,24
2012,24
