year,Germaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,7
1897,7
1898,7
1899,0
1900,13
1901,9
1902,12
1903,18
1904,27
1905,20
1906,30
1907,22
1908,48
1909,31
1910,45
1911,53
1912,85
1913,106
1914,121
1915,137
1916,138
1917,120
1918,106
1919,117
1920,145
1921,155
1922,171
1923,151
1924,163
1925,164
1926,138
1927,172
1928,202
1929,182
1930,147
1931,139
1932,152
1933,161
1934,149
1935,141
1936,106
1937,124
1938,119
1939,116
1940,84
1941,83
1942,83
1943,96
1944,79
1945,73
1946,68
1947,93
1948,79
1949,71
1950,75
1951,76
1952,69
1953,77
1954,88
1955,74
1956,80
1957,109
1958,117
1959,117
1960,116
1961,127
1962,107
1963,125
1964,99
1965,79
1966,68
1967,83
1968,57
1969,85
1970,100
1971,190
1972,250
1973,210
1974,163
1975,143
1976,129
1977,127
1978,105
1979,115
1980,125
1981,118
1982,106
1983,84
1984,91
1985,70
1986,46
1987,62
1988,49
1989,46
1990,66
1991,51
1992,42
1993,66
1994,46
1995,47
1996,38
1997,47
1998,46
1999,39
2000,38
2001,35
2002,43
2003,30
2004,36
2005,25
2006,26
2007,26
2008,23
2009,26
2010,29
2011,30
2012,31
