year,Gaynell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,5
1889,0
1890,0
1891,5
1892,0
1893,8
1894,0
1895,9
1896,8
1897,16
1898,9
1899,6
1900,11
1901,9
1902,9
1903,10
1904,17
1905,9
1906,6
1907,18
1908,7
1909,9
1910,11
1911,14
1912,17
1913,24
1914,30
1915,50
1916,46
1917,67
1918,61
1919,49
1920,48
1921,54
1922,58
1923,37
1924,64
1925,48
1926,46
1927,45
1928,65
1929,46
1930,52
1931,66
1932,63
1933,73
1934,67
1935,81
1936,86
1937,103
1938,94
1939,87
1940,92
1941,90
1942,88
1943,80
1944,96
1945,68
1946,94
1947,79
1948,112
1949,87
1950,83
1951,90
1952,117
1953,100
1954,94
1955,73
1956,95
1957,79
1958,76
1959,89
1960,66
1961,59
1962,72
1963,53
1964,51
1965,30
1966,31
1967,40
1968,21
1969,29
1970,19
1971,30
1972,21
1973,21
1974,17
1975,12
1976,17
1977,9
1978,8
1979,7
1980,0
1981,5
1982,7
1983,7
1984,7
1985,0
1986,8
1987,0
1988,0
1989,0
1990,6
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
