year,Gabriella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,0
1901,0
1902,9
1903,10
1904,0
1905,0
1906,0
1907,7
1908,0
1909,6
1910,9
1911,5
1912,9
1913,5
1914,12
1915,17
1916,19
1917,15
1918,17
1919,18
1920,17
1921,23
1922,14
1923,13
1924,17
1925,20
1926,12
1927,14
1928,14
1929,10
1930,9
1931,15
1932,5
1933,7
1934,11
1935,6
1936,5
1937,8
1938,8
1939,0
1940,10
1941,7
1942,9
1943,7
1944,7
1945,7
1946,8
1947,7
1948,9
1949,12
1950,10
1951,17
1952,19
1953,14
1954,18
1955,17
1956,27
1957,25
1958,35
1959,26
1960,35
1961,56
1962,60
1963,70
1964,57
1965,74
1966,57
1967,82
1968,62
1969,98
1970,120
1971,115
1972,110
1973,90
1974,122
1975,103
1976,99
1977,88
1978,111
1979,118
1980,104
1981,141
1982,107
1983,114
1984,151
1985,236
1986,211
1987,344
1988,456
1989,554
1990,951
1991,1199
1992,1370
1993,1405
1994,1996
1995,2244
1996,2323
1997,2613
1998,2923
1999,3155
2000,3367
2001,3609
2002,3917
2003,4018
2004,4258
2005,4814
2006,5367
2007,5837
2008,6021
2009,6142
2010,6167
2011,6079
2012,5483
