year,Garret
1880,0
1881,6
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,10
1914,9
1915,15
1916,16
1917,7
1918,8
1919,15
1920,0
1921,9
1922,12
1923,15
1924,5
1925,6
1926,10
1927,17
1928,16
1929,13
1930,13
1931,11
1932,16
1933,9
1934,10
1935,10
1936,9
1937,14
1938,5
1939,10
1940,18
1941,9
1942,10
1943,29
1944,19
1945,14
1946,26
1947,28
1948,22
1949,31
1950,29
1951,31
1952,33
1953,30
1954,39
1955,40
1956,35
1957,29
1958,34
1959,33
1960,60
1961,63
1962,92
1963,104
1964,102
1965,95
1966,97
1967,95
1968,89
1969,88
1970,100
1971,63
1972,88
1973,66
1974,76
1975,62
1976,63
1977,64
1978,83
1979,126
1980,144
1981,140
1982,161
1983,196
1984,192
1985,260
1986,272
1987,252
1988,254
1989,325
1990,380
1991,358
1992,497
1993,485
1994,416
1995,438
1996,455
1997,477
1998,458
1999,527
2000,590
2001,468
2002,383
2003,343
2004,301
2005,299
2006,277
2007,211
2008,163
2009,155
2010,130
2011,122
2012,107
