year,Georgina
1880,5
1881,0
1882,7
1883,8
1884,7
1885,9
1886,12
1887,8
1888,11
1889,11
1890,14
1891,13
1892,19
1893,16
1894,14
1895,13
1896,14
1897,15
1898,19
1899,15
1900,10
1901,10
1902,17
1903,20
1904,24
1905,18
1906,20
1907,22
1908,14
1909,26
1910,27
1911,22
1912,40
1913,42
1914,47
1915,94
1916,82
1917,81
1918,104
1919,105
1920,96
1921,91
1922,86
1923,80
1924,101
1925,90
1926,97
1927,87
1928,87
1929,73
1930,88
1931,78
1932,67
1933,53
1934,87
1935,63
1936,77
1937,60
1938,58
1939,84
1940,68
1941,67
1942,75
1943,76
1944,71
1945,82
1946,122
1947,139
1948,102
1949,99
1950,129
1951,134
1952,153
1953,123
1954,156
1955,174
1956,204
1957,144
1958,158
1959,165
1960,144
1961,174
1962,168
1963,178
1964,213
1965,164
1966,179
1967,188
1968,224
1969,210
1970,259
1971,241
1972,242
1973,223
1974,265
1975,269
1976,233
1977,228
1978,202
1979,195
1980,230
1981,173
1982,240
1983,207
1984,192
1985,172
1986,146
1987,169
1988,183
1989,207
1990,193
1991,203
1992,202
1993,179
1994,170
1995,174
1996,157
1997,157
1998,165
1999,144
2000,135
2001,143
2002,194
2003,160
2004,163
2005,155
2006,149
2007,123
2008,103
2009,108
2010,99
2011,98
2012,113
