year,Gracy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,7
1910,6
1911,5
1912,6
1913,0
1914,0
1915,6
1916,7
1917,15
1918,11
1919,15
1920,9
1921,8
1922,18
1923,14
1924,10
1925,15
1926,10
1927,5
1928,9
1929,6
1930,6
1931,0
1932,7
1933,5
1934,5
1935,12
1936,6
1937,9
1938,0
1939,12
1940,8
1941,9
1942,12
1943,8
1944,8
1945,5
1946,8
1947,0
1948,11
1949,7
1950,7
1951,9
1952,8
1953,8
1954,9
1955,0
1956,8
1957,11
1958,0
1959,0
1960,7
1961,7
1962,9
1963,6
1964,0
1965,0
1966,0
1967,5
1968,6
1969,0
1970,0
1971,0
1972,5
1973,10
1974,0
1975,13
1976,0
1977,0
1978,0
1979,9
1980,8
1981,0
1982,7
1983,9
1984,0
1985,0
1986,8
1987,6
1988,9
1989,7
1990,11
1991,11
1992,10
1993,8
1994,6
1995,0
1996,9
1997,8
1998,9
1999,28
2000,26
2001,44
2002,40
2003,50
2004,64
2005,64
2006,55
2007,66
2008,61
2009,44
2010,36
2011,40
2012,42
