year,Greta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,5
1887,8
1888,9
1889,16
1890,14
1891,8
1892,15
1893,13
1894,21
1895,20
1896,20
1897,23
1898,33
1899,23
1900,32
1901,20
1902,25
1903,19
1904,21
1905,38
1906,32
1907,26
1908,33
1909,25
1910,28
1911,39
1912,72
1913,52
1914,83
1915,103
1916,111
1917,94
1918,84
1919,75
1920,62
1921,60
1922,61
1923,71
1924,76
1925,67
1926,107
1927,146
1928,235
1929,283
1930,345
1931,383
1932,400
1933,338
1934,323
1935,270
1936,235
1937,217
1938,212
1939,159
1940,149
1941,127
1942,135
1943,140
1944,95
1945,94
1946,108
1947,139
1948,157
1949,122
1950,143
1951,194
1952,178
1953,191
1954,194
1955,238
1956,253
1957,276
1958,295
1959,347
1960,322
1961,361
1962,274
1963,287
1964,226
1965,256
1966,433
1967,535
1968,421
1969,347
1970,344
1971,304
1972,223
1973,232
1974,231
1975,194
1976,177
1977,147
1978,153
1979,205
1980,199
1981,209
1982,167
1983,132
1984,137
1985,110
1986,114
1987,116
1988,116
1989,112
1990,106
1991,110
1992,119
1993,108
1994,115
1995,132
1996,159
1997,161
1998,182
1999,253
2000,301
2001,279
2002,319
2003,376
2004,379
2005,405
2006,411
2007,434
2008,434
2009,417
2010,431
2011,410
2012,444
