year,Gretchen
1880,0
1881,0
1882,10
1883,7
1884,6
1885,5
1886,11
1887,16
1888,18
1889,22
1890,29
1891,34
1892,24
1893,32
1894,24
1895,35
1896,40
1897,26
1898,39
1899,37
1900,55
1901,41
1902,30
1903,39
1904,44
1905,42
1906,55
1907,47
1908,60
1909,66
1910,95
1911,80
1912,134
1913,158
1914,196
1915,288
1916,296
1917,246
1918,176
1919,128
1920,131
1921,144
1922,150
1923,149
1924,123
1925,144
1926,143
1927,142
1928,177
1929,152
1930,178
1931,198
1932,233
1933,240
1934,288
1935,301
1936,303
1937,349
1938,484
1939,420
1940,471
1941,440
1942,464
1943,448
1944,490
1945,494
1946,567
1947,570
1948,640
1949,608
1950,545
1951,619
1952,583
1953,578
1954,563
1955,575
1956,567
1957,570
1958,687
1959,821
1960,934
1961,1046
1962,1003
1963,962
1964,975
1965,906
1966,963
1967,966
1968,887
1969,1106
1970,1250
1971,1348
1972,1260
1973,1351
1974,1286
1975,1184
1976,1224
1977,1045
1978,947
1979,929
1980,923
1981,894
1982,747
1983,595
1984,523
1985,451
1986,405
1987,359
1988,344
1989,430
1990,356
1991,377
1992,318
1993,319
1994,281
1995,283
1996,290
1997,283
1998,290
1999,301
2000,310
2001,312
2002,285
2003,316
2004,275
2005,348
2006,355
2007,316
2008,283
2009,265
2010,225
2011,234
2012,201
