year,Genie
1880,5
1881,9
1882,10
1883,13
1884,7
1885,12
1886,14
1887,16
1888,10
1889,18
1890,21
1891,10
1892,15
1893,12
1894,17
1895,8
1896,10
1897,12
1898,15
1899,7
1900,14
1901,10
1902,0
1903,17
1904,13
1905,15
1906,7
1907,14
1908,12
1909,18
1910,12
1911,10
1912,12
1913,14
1914,13
1915,15
1916,21
1917,29
1918,23
1919,12
1920,18
1921,21
1922,26
1923,21
1924,19
1925,16
1926,27
1927,12
1928,12
1929,23
1930,13
1931,10
1932,13
1933,20
1934,25
1935,11
1936,20
1937,16
1938,16
1939,18
1940,21
1941,31
1942,34
1943,40
1944,26
1945,41
1946,49
1947,64
1948,43
1949,42
1950,40
1951,34
1952,32
1953,38
1954,38
1955,29
1956,36
1957,50
1958,52
1959,33
1960,43
1961,45
1962,33
1963,34
1964,31
1965,34
1966,42
1967,31
1968,19
1969,25
1970,27
1971,31
1972,21
1973,21
1974,31
1975,22
1976,32
1977,33
1978,23
1979,28
1980,43
1981,57
1982,69
1983,56
1984,45
1985,36
1986,32
1987,19
1988,12
1989,9
1990,23
1991,19
1992,16
1993,12
1994,15
1995,12
1996,9
1997,14
1998,9
1999,8
2000,7
2001,13
2002,10
2003,0
2004,6
2005,9
2006,8
2007,0
2008,6
2009,5
2010,0
2011,0
2012,6
