year,Garvin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,9
1903,0
1904,0
1905,0
1906,0
1907,7
1908,5
1909,6
1910,10
1911,8
1912,10
1913,19
1914,26
1915,33
1916,26
1917,31
1918,35
1919,43
1920,47
1921,52
1922,38
1923,38
1924,31
1925,37
1926,31
1927,32
1928,30
1929,28
1930,36
1931,19
1932,34
1933,23
1934,33
1935,21
1936,33
1937,31
1938,28
1939,25
1940,36
1941,28
1942,33
1943,23
1944,25
1945,28
1946,29
1947,34
1948,37
1949,21
1950,22
1951,31
1952,33
1953,28
1954,27
1955,18
1956,35
1957,25
1958,18
1959,28
1960,29
1961,26
1962,35
1963,22
1964,20
1965,14
1966,19
1967,20
1968,25
1969,30
1970,20
1971,20
1972,14
1973,13
1974,17
1975,11
1976,10
1977,19
1978,14
1979,7
1980,16
1981,21
1982,14
1983,17
1984,13
1985,10
1986,17
1987,10
1988,17
1989,15
1990,19
1991,13
1992,20
1993,18
1994,13
1995,13
1996,8
1997,16
1998,12
1999,18
2000,15
2001,16
2002,16
2003,20
2004,10
2005,9
2006,19
2007,15
2008,14
2009,6
2010,13
2011,14
2012,17
