year,Gabriela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,5
1905,0
1906,0
1907,0
1908,0
1909,7
1910,0
1911,0
1912,0
1913,0
1914,10
1915,12
1916,6
1917,7
1918,7
1919,9
1920,10
1921,8
1922,15
1923,14
1924,11
1925,8
1926,9
1927,7
1928,8
1929,6
1930,6
1931,10
1932,7
1933,5
1934,0
1935,0
1936,7
1937,5
1938,0
1939,0
1940,8
1941,5
1942,9
1943,0
1944,9
1945,8
1946,6
1947,8
1948,5
1949,8
1950,5
1951,18
1952,11
1953,9
1954,17
1955,30
1956,20
1957,43
1958,40
1959,58
1960,47
1961,37
1962,79
1963,71
1964,102
1965,128
1966,136
1967,132
1968,194
1969,223
1970,247
1971,259
1972,330
1973,333
1974,417
1975,417
1976,441
1977,423
1978,536
1979,710
1980,605
1981,602
1982,603
1983,719
1984,650
1985,718
1986,779
1987,995
1988,1009
1989,1240
1990,1622
1991,2082
1992,2293
1993,2434
1994,2864
1995,2586
1996,2427
1997,2635
1998,2581
1999,2715
2000,2852
2001,2737
2002,2922
2003,3367
2004,3027
2005,2871
2006,3032
2007,2869
2008,2613
2009,2292
2010,2079
2011,1906
2012,1542
