year,Gregorio
1880,5
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,6
1888,6
1889,6
1890,0
1891,9
1892,6
1893,0
1894,10
1895,0
1896,9
1897,6
1898,5
1899,0
1900,11
1901,7
1902,6
1903,0
1904,6
1905,10
1906,0
1907,12
1908,9
1909,8
1910,19
1911,18
1912,29
1913,35
1914,48
1915,69
1916,57
1917,48
1918,49
1919,71
1920,80
1921,89
1922,74
1923,81
1924,103
1925,94
1926,92
1927,102
1928,95
1929,106
1930,84
1931,98
1932,83
1933,59
1934,79
1935,76
1936,56
1937,55
1938,55
1939,33
1940,49
1941,55
1942,62
1943,65
1944,62
1945,64
1946,70
1947,74
1948,73
1949,72
1950,71
1951,72
1952,63
1953,69
1954,81
1955,78
1956,76
1957,75
1958,74
1959,79
1960,84
1961,90
1962,77
1963,81
1964,80
1965,86
1966,79
1967,76
1968,85
1969,106
1970,115
1971,108
1972,105
1973,113
1974,120
1975,99
1976,117
1977,111
1978,126
1979,122
1980,136
1981,137
1982,159
1983,128
1984,110
1985,113
1986,163
1987,133
1988,110
1989,133
1990,159
1991,168
1992,163
1993,187
1994,181
1995,145
1996,162
1997,150
1998,152
1999,134
2000,137
2001,136
2002,146
2003,147
2004,148
2005,114
2006,142
2007,126
2008,99
2009,105
2010,93
2011,86
2012,77
