year,Gonzalo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,5
1911,5
1912,8
1913,5
1914,12
1915,12
1916,16
1917,17
1918,24
1919,21
1920,22
1921,19
1922,25
1923,46
1924,44
1925,47
1926,46
1927,60
1928,47
1929,53
1930,55
1931,47
1932,32
1933,49
1934,49
1935,48
1936,42
1937,31
1938,62
1939,27
1940,54
1941,30
1942,29
1943,31
1944,38
1945,52
1946,44
1947,52
1948,49
1949,52
1950,53
1951,50
1952,53
1953,73
1954,61
1955,50
1956,50
1957,65
1958,66
1959,63
1960,71
1961,59
1962,60
1963,63
1964,69
1965,67
1966,73
1967,63
1968,77
1969,60
1970,83
1971,84
1972,87
1973,95
1974,100
1975,91
1976,95
1977,92
1978,96
1979,94
1980,123
1981,130
1982,126
1983,95
1984,134
1985,127
1986,134
1987,126
1988,144
1989,157
1990,174
1991,183
1992,199
1993,199
1994,207
1995,186
1996,185
1997,202
1998,160
1999,178
2000,254
2001,213
2002,242
2003,207
2004,206
2005,216
2006,206
2007,205
2008,167
2009,172
2010,146
2011,148
2012,135
