year,Guillermo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,8
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,10
1905,10
1906,0
1907,6
1908,7
1909,5
1910,13
1911,10
1912,18
1913,16
1914,26
1915,33
1916,20
1917,40
1918,34
1919,43
1920,68
1921,44
1922,57
1923,89
1924,87
1925,88
1926,107
1927,100
1928,87
1929,94
1930,101
1931,100
1932,71
1933,74
1934,86
1935,72
1936,79
1937,68
1938,70
1939,63
1940,72
1941,88
1942,53
1943,79
1944,77
1945,94
1946,93
1947,113
1948,135
1949,135
1950,128
1951,132
1952,136
1953,125
1954,148
1955,150
1956,171
1957,160
1958,163
1959,184
1960,192
1961,170
1962,185
1963,194
1964,191
1965,202
1966,197
1967,242
1968,292
1969,244
1970,290
1971,313
1972,281
1973,346
1974,348
1975,355
1976,357
1977,351
1978,320
1979,393
1980,400
1981,432
1982,440
1983,421
1984,412
1985,435
1986,404
1987,388
1988,515
1989,530
1990,586
1991,591
1992,662
1993,662
1994,680
1995,627
1996,691
1997,632
1998,693
1999,664
2000,651
2001,620
2002,626
2003,595
2004,639
2005,615
2006,625
2007,608
2008,583
2009,533
2010,457
2011,406
2012,392
